Year_Quarter,Birth rate group,Indicator,Group,FertilityRate,Unit,MortalityRate
2024 Q1,Age-specific Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2024 Q1,Age-specific Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2024 Q1,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.3,"per 1,000 population",0.012
2024 Q1,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2024 Q1,Age-specific Birth Rates,15-19 years,All races and origins,13.2,"per 1,000 population",0.528
2024 Q1,Age-specific Birth Rates,15-19 years,Hispanic,21.3,"per 1,000 population",0.852
2024 Q1,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,19.1,"per 1,000 population",0.764
2024 Q1,Age-specific Birth Rates,15-19 years,Non-Hispanic White,8.5,"per 1,000 population",0.34
2024 Q1,Age-specific Birth Rates,20-24 years,All races and origins,55.1,"per 1,000 population",2.204
2024 Q1,Age-specific Birth Rates,20-24 years,Hispanic,78.3,"per 1,000 population",3.132
2024 Q1,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,65.3,"per 1,000 population",2.612
2024 Q1,Age-specific Birth Rates,20-24 years,Non-Hispanic White,46,"per 1,000 population",1.84
2024 Q1,Age-specific Birth Rates,25-29 years,All races and origins,91.1,"per 1,000 population",3.644
2024 Q1,Age-specific Birth Rates,25-29 years,Hispanic,112.5,"per 1,000 population",4.5
2024 Q1,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,84.2,"per 1,000 population",3.368
2024 Q1,Age-specific Birth Rates,25-29 years,Non-Hispanic White,89.2,"per 1,000 population",3.568
2024 Q1,Age-specific Birth Rates,30-34 years,All races and origins,95.6,"per 1,000 population",3.824
2024 Q1,Age-specific Birth Rates,30-34 years,Hispanic,102.4,"per 1,000 population",4.096
2024 Q1,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,76.4,"per 1,000 population",3.056
2024 Q1,Age-specific Birth Rates,30-34 years,Non-Hispanic White,98.3,"per 1,000 population",3.932
2024 Q1,Age-specific Birth Rates,35-39 years,All races and origins,55,"per 1,000 population",2.2
2024 Q1,Age-specific Birth Rates,35-39 years,Hispanic,60.2,"per 1,000 population",2.408
2024 Q1,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,49.7,"per 1,000 population",1.988
2024 Q1,Age-specific Birth Rates,35-39 years,Non-Hispanic White,52.6,"per 1,000 population",2.104
2024 Q1,Age-specific Birth Rates,40-44 years,All races and origins,12.8,"per 1,000 population",0.512
2024 Q1,Age-specific Birth Rates,40-44 years,Hispanic,15.8,"per 1,000 population",0.632
2024 Q1,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,14.1,"per 1,000 population",0.564
2024 Q1,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.7,"per 1,000 population",0.428
2024 Q1,Age-specific Birth Rates,45+ years,All races and origins,1.1,"per 1,000 population",0.044
2024 Q1,Age-specific Birth Rates,45+ years,Hispanic,1.1,"per 1,000 population",0.044
2024 Q1,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.5,"per 1,000 population",0.06
2024 Q1,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.9,"per 1,000 population",0.036
2024 Q1,General Fertility Rates,15-44 years,All races and origins,54.5,"per 1,000 population",2.18
2024 Q1,General Fertility Rates,15-44 years,Hispanic,65.3,"per 1,000 population",2.612
2024 Q1,General Fertility Rates,15-44 years,Non-Hispanic Black,52.9,"per 1,000 population",2.116
2024 Q1,General Fertility Rates,15-44 years,Non-Hispanic White,51.7,"per 1,000 population",2.068
2024 Q1,Teen Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
2024 Q1,Teen Birth Rates,10-14 years,Hispanic,0.3,"per 1,000 population",0.012
2024 Q1,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.3,"per 1,000 population",0.012
2024 Q1,Teen Birth Rates,10-14 years,Non-Hispanic White,0.1,"per 1,000 population",0.004
2024 Q1,Teen Birth Rates,15-17 years,All races and origins,5.5,"per 1,000 population",0.22
2024 Q1,Teen Birth Rates,15-17 years,Hispanic,9.5,"per 1,000 population",0.38
2024 Q1,Teen Birth Rates,15-17 years,Non-Hispanic Black,8.8,"per 1,000 population",0.352
2024 Q1,Teen Birth Rates,15-17 years,Non-Hispanic White,2.9,"per 1,000 population",0.116
2024 Q1,Teen Birth Rates,18-19 years,All races and origins,24.8,"per 1,000 population",0.992
2024 Q1,Teen Birth Rates,18-19 years,Hispanic,39.8,"per 1,000 population",1.592
2024 Q1,Teen Birth Rates,18-19 years,Non-Hispanic Black,35.1,"per 1,000 population",1.404
2024 Q1,Teen Birth Rates,18-19 years,Non-Hispanic White,16.8,"per 1,000 population",0.672
2024 Q1,Teen Birth Rates,15-19 years,All races and origins,13.2,"per 1,000 population",0.528
2024 Q1,Teen Birth Rates,15-19 years,Hispanic,21.3,"per 1,000 population",0.852
2024 Q1,Teen Birth Rates,15-19 years,Non-Hispanic Black,19.1,"per 1,000 population",0.764
2024 Q1,Teen Birth Rates,15-19 years,Non-Hispanic White,8.5,"per 1,000 population",0.34
2023 Q4,Age-specific Birth Rates,10-14 years,All races and origins,0.2,"per 1,000 population",0.008
